,Family_History_Treatment,Imm_reason_text,Immigration-Treatmen,Partisan priming,Coerced,Family1_vs_NoFamily0,Slavery1_vs_NoSlavery0,Negative-1_Neutral0_Positive1,Native1_vs_NoNative0,Nonsense
1680,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1681,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1684,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1685,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1687,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1693,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1694,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1695,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
1696,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1700,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1701,1,The original person came over via ship with his pregnant girlfriend to make a better life over here for them.  Or perhaps escape justice for something he did in England!,My great-great-grandparents' generation or earlier,0,0,1,0,1,0,0
1702,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1704,1,to join my other member of family,My parents' generation,0,0,1,0,0,0,0
1705,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1706,1,my fathers family came to escape Hitler. I don't know about my mothers family,My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
1710,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1714,1,To work for the country and form a future,My great-grandparents' generation,0,0,0,0,1,0,0
1715,1,better living and jobs,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1716,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1717,1,My family came to the United States for work.,My parents' generation,0,0,1,0,0,0,0
1718,1,They were brought here to work,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
1720,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1721,1,NA,My generation,na,na,NA,NA,NA,NA,NA
1722,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1723,1,"I don't know about my mother's family, but my father's family desired a life better than they could ever have in their home country, owing to lack of education and positions in which they might better themselves.",My grandparents' generation,0,0,1,0,1,0,0
1726,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1728,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1729,1,better life and more opportunities to come for future generations,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1732,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1733,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1734,1,asylum from the nazis,My grandparents' generation,0,0,1,0,-1,0,0
1737,1,looking for a life economically,My great-grandparents' generation,0,0,0,0,0,0,0
1738,1,no reason,My grandparents' generation,0,0,0,0,0,0,0
1739,1,Slave trade is what bought my ancestors here. I am a black woman and don't believe that racist Columbus discovered America.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1741,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1742,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1743,1,I know that my family of my sibling is come from for job purpose.,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
1745,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
1746,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1747,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1750,1,"My family didn't willingly come here. There were brought her against their will during slavery. They had to learn to survive through hate, rape, torture, death and much more.",My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1753,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1755,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1756,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1759,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1760,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1762,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1763,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1766,1,for a better life,My great-grandparents' generation,0,0,0,0,1,0,0
1767,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1768,1,To be slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1769,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1770,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1773,1,Escape poverty,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1774,1,NA,My generation,na,na,NA,NA,NA,NA,NA
1776,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1781,1,its a better sate in other ways,My grandparents' generation,0,0,0,0,1,0,0
1782,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1784,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1787,1,MNM,My generation,0,0,0,0,0,0,1
1788,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1792,1,to live a better life,My grandparents' generation,0,0,0,0,1,0,0
1793,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1797,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1800,1,Bank created war,My grandparents' generation,0,0,0,0,-1,0,0
1805,1,to seek a better and safer life from what was happening in Eastern Europe...,My parents' generation,0,0,1,0,-1,0,0
1806,1,They wanted to seek a better life for us.,My parents' generation,0,0,0,0,1,0,0
1807,1,to escape communism and war in russia/latvia,My grandparents' generation,0,0,1,0,-1,0,0
1811,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1812,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1813,1,To have farms and own land of their own,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1814,1,to much well,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
1815,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1816,1,My family was bought here to serve as slave to lazy white people.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1817,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1818,1,great,My grandparents' generation,0,0,0,0,0,0,0
1819,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1820,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1821,1,"My family came here to have a better way of life, more opportunity.",My grandparents' generation,0,0,1,0,1,0,0
1823,1,US is very rich country,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1824,1,they were from Poland participated in WW2 were refugees and did not want to go back to a communist poland,My parents' generation,0,0,1,0,1,0,0
1826,1,I came here to study and decided to stay,My generation,0,0,1,0,0,0,0
1827,1,For economic reasons,My great-grandparents' generation,0,0,0,0,1,0,0
1828,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1829,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1830,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
1831,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1834,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1837,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1839,1,better life,My great-grandparents' generation,0,0,0,0,1,0,0
1841,1,For better life,My generation,0,0,0,0,1,0,0
1842,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1845,1,Looking for a better life-  better job,My great-grandparents' generation,0,0,0,0,1,0,0
1847,1,"my one side came on the Mayflower to escape religious persecution, my other side came legally through a thorough and invasive process to seek a better life",My great-grandparents' generation,1,0,1,0,0,0,0
1850,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1852,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1853,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1863,1,THEY WERE BROUGHT HERE AS SLAVES,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1866,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1867,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1869,1,For a better life than they had,My great-grandparents' generation,0,0,0,0,1,0,0
1871,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1872,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1873,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1875,1,To escape being tortured by the communist government.,My parents' generation,0,0,1,0,-1,0,0
1878,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1879,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1880,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1881,1,I believe it was to seek a better life.,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1884,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1887,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1888,1,NA,My generation,na,na,NA,NA,NA,NA,NA
1891,1,they are looking for a change.  US is one of their choices.,My grandparents' generation,0,0,1,0,1,0,0
1894,1,We came to be slaves.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1899,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1904,1,thin its great and much needed,My generation,0,0,0,0,0,0,1
1905,1,They backed the wrong horse politically and decided that living here was preferable to dying.,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
1906,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1907,1,For a better life,My parents' generation,0,0,0,0,1,0,0
1908,1,they wanted to have a life with land ownership,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1910,1,for better jobs and the common american dream,My grandparents' generation,0,0,0,0,1,0,0
1913,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1914,1,to discover work,My great-great-grandparents' generation or earlier,0,0,0,0,0,0,0
1915,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1920,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1921,1,Better life,My parents' generation,0,0,0,0,1,0,0
1923,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1924,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1929,1,Famine,My grandparents' generation,0,0,0,0,-1,0,0
1931,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1933,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1941,1,for a better opportunity,My grandparents' generation,0,0,0,0,1,0,0
1942,1,Economic opportunity,My generation,0,0,0,0,1,0,0
1945,1,My grandparents came here for opportunity.,My grandparents' generation,0,0,1,0,1,0,0
1947,1,opportunity,My parents' generation,0,0,0,0,1,0,0
1951,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1954,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1956,1,My ancestor fought for the Scots in 1715 and was deported to the American colonies by the Brits,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
1957,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
1958,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
1960,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1961,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
1968,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1972,1,freedom,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
1976,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1977,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1978,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1984,1,NA,NA,na,na,NA,NA,NA,NA,NA
1985,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
1986,1,My family came to this country from slavery.,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
1987,1,It is a country full of possibilities. It is also a country that protects equality and freedom.,My grandparents' generation,0,0,0,0,1,0,0
1989,1,Family,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
1993,1,We were here. Native American decent,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
1994,1,"for a better opportunity, to live the so called American dream",My great-grandparents' generation,0,0,0,0,1,0,0
1999,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2000,1,My father wanted to be part of the best country on Earth. Not to change it but to be a part of it - even to the point of joining the Army during Vietnam.,My parents' generation,1,0,1,0,1,0,0
2002,1,They wanted a better life than what they had in Poland. They came here through Ellis Island.,My grandparents' generation,0,0,1,0,1,0,0
2004,1,They came from Italy to escape condition there at the time.,My grandparents' generation,0,0,1,0,-1,0,0
2005,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2006,1,they lived prevoiusly,My parents' generation,0,0,1,0,0,1,0
2007,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2008,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2009,1,"My Great-great-great grandfather came to America, and became a slave owner and owner of a plantation.  My great-great grandmother was a slave taken from Kenya to Jamaica, and to America at 14 years old.  My grandfather was from the Philipines and my grandmother Afro-Hispanic.  They were both born here in the United States.",My great-great-grandparents' generation or earlier,0,1,1,1,0,0,0
2013,1,"to settle and start a new life
",My grandparents' generation,0,0,0,0,1,0,0
2015,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2016,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2017,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2018,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2019,1,My italian family came to escape political upheaval.,My grandparents' generation,0,0,1,0,-1,0,0
2021,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2022,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2023,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2024,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2025,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2026,1,for the comfortable life,My parents' generation,0,0,0,0,1,0,0
2028,1,NA,NA,na,na,NA,NA,NA,NA,NA
2029,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2030,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2031,1,They came to seek better opportunity.,My grandparents' generation,0,0,0,0,1,0,0
2032,1,A political Refugee,My generation,0,0,1,0,0,0,0
2034,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2036,1,They received a land grant to settle Virginia,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2038,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2040,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2041,1,My ancestors were most likely apart of trans Atlantic slave trade,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2045,1,The opportunity to thrive and religious freedom,My great-grandparents' generation,0,0,0,0,1,0,0
2046,1,for a better life,My generation,0,0,0,0,1,0,0
2047,1,10,My generation,0,0,0,0,0,0,1
2048,1,yes,My parents' generation,0,0,0,0,0,0,1
2050,1,they come to bussiness.then one by one stay here,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2054,1,other,My parents' generation,0,0,0,0,0,0,0
2055,1,they came due to war in their country,My parents' generation,0,0,1,0,-1,0,0
2059,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2061,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2063,1,Opportunity,My parents' generation,0,0,0,0,1,0,0
2064,1,John_Lodge_2019.png,My grandparents' generation,0,0,0,0,0,0,1
2065,1,my fathers side came because my grandmother had some fashion business and they wanted to expand in nyc. my mothers side came because my grand father was premed in cuba and he was able to come here to the university of miami and he just stayed.,My grandparents' generation,0,0,1,0,0,0,0
2066,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2068,1,gcnb ncbv bcnvbv n,My generation,0,0,0,0,0,0,1
2069,1,for money,My parents' generation,0,0,0,0,0,0,0
2070,1,For a better life.  Also for more oppertunities,My great-grandparents' generation,0,0,0,0,1,0,0
2073,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2074,1,"The United States celebrates October as National Family History Month and for good reason. ... Family history is more than pedigree charts, censuses, and ... Knowing our cultural background and where we came from can help us develop a strong sense of who we really are. .... If so, please direct me there!",My generation,0,0,1,0,1,0,0
2077,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2078,1,My paternal grandfather came to the US from Poland to avoid WWII.,My grandparents' generation,0,0,1,0,-1,0,0
2080,1,The U.S. had better opportunities for children than the Philippines.,My parents' generation,0,0,1,0,1,0,0
2082,1,NA,NA,na,na,NA,NA,NA,NA,NA
2083,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2084,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2085,1,"To get away feom the slaughter of Jews in Russia
",My grandparents' generation,0,0,1,0,-1,0,0
2086,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2090,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2092,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2096,1,From Ireland to build Panama canal,My great-great-grandparents' generation or earlier,0,0,1,0,0,0,0
2097,1,because they wanted to and its a wonderful country to live in,My great-grandparents' generation,0,0,0,0,1,0,0
2101,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2102,1,For a better life.,My great-grandparents' generation,0,0,0,0,1,0,0
2103,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2104,1,They were African Slaves,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2105,1,Greater opportunities and more safety.,My generation,0,0,0,0,1,0,0
2108,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2109,1,We was brought for slavery duh,My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2112,1,because we were middle class and educated and wanted more advancement opportunities,My generation,0,0,1,0,1,0,0
2114,1,better work opportunities,My parents' generation,0,0,0,0,1,0,0
2115,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2119,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2120,1,to live a better life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2121,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2123,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2125,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2127,1,none problem,My generation,0,0,0,0,0,0,1
2130,1,to give us kids a better life,My grandparents' generation,0,0,0,0,1,0,0
2133,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2134,1,Our family came to the US for more opportunities.  Europe isn't that great after all.,My grandparents' generation,0,0,1,0,1,0,0
2135,1,Better life,My generation,0,0,0,0,1,0,0
2138,1,My family came to the United States after surviving the Holocaust because it had the best medical care as well as was the country that liberated them.,My grandparents' generation,0,0,1,0,1,0,0
2139,1,good,My grandparents' generation,0,0,0,0,0,0,0
2142,1,to get rich,My parents' generation,0,0,0,0,1,0,0
2143,1,for a better life then they had.,My grandparents' generation,0,0,0,0,1,0,0
2144,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2146,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2148,1,Jewish Persecution,My parents' generation,0,0,1,0,-1,0,0
2152,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2153,1,cool,My generation,0,0,0,0,0,0,0
2154,1,i dont know,My generation,0,0,0,0,0,0,0
2155,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2156,1,good,My generation,0,0,0,0,0,0,0
2157,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2158,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2159,1,Seeking better educational and work opportunities,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2160,1,N/S,My generation,0,0,0,0,0,0,0
2161,1,My father came the the United States to work and make a better life.,My parents' generation,0,0,1,0,1,0,0
2165,1,got greencard from other family. then they eventually moved here,My parents' generation,0,0,1,0,0,0,0
2167,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2169,1,My family originally came to the US to support a better life,My parents' generation,0,0,1,0,1,0,0
2173,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2177,1,Hmong Vietnam War,My parents' generation,0,0,1,0,0,0,0
2179,1,we us citizen,My generation,0,0,1,0,0,1,0
2181,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2183,1,yes,My parents' generation,0,0,0,0,0,0,0
2185,1,BETTER OPPORTUNITY,My generation,0,0,0,0,1,0,0
2187,1,iknhlk,My parents' generation,0,0,0,0,0,0,1
2188,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2189,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2190,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2196,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2197,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2198,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2199,1,PW[Q,My parents' generation,0,0,0,0,0,0,1
2201,1,better life after serving in the military,My grandparents' generation,0,0,1,0,1,0,0
2202,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2203,1,there well off,My parents' generation,0,0,0,0,1,0,0
2205,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2209,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2211,1,Irish famine,My great-grandparents' generation,0,0,1,0,-1,0,0
2214,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2215,1,Immigrants seeking a better quality of life due to the low hope of social improvements in my home country,My grandparents' generation,0,0,1,0,1,0,0
2218,1,For education and economic opportunities,My generation,0,0,0,0,1,0,0
2219,1,to have a better life,My grandparents' generation,0,0,0,0,1,0,0
2220,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2221,1,potato famine!,My great-great-grandparents' generation or earlier,0,0,1,0,-1,0,0
2226,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2228,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2229,1,We were seeking better freedoms than what was available to us.,My parents' generation,0,0,1,0,1,0,0
2231,1,yes,My generation,0,0,0,0,0,0,0
2233,1,they wanted too,My generation,0,0,0,0,0,0,0
2234,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2238,1,They came to have opportunity,My grandparents' generation,0,0,0,0,1,0,0
2240,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2241,1,NA,My generation,na,na,NA,NA,NA,NA,NA
2242,1,My family came to seek a better life for her children. My parents had tough child hoods and wanted their children to not go through what they did.,My parents' generation,0,0,1,0,1,0,0
2243,1,Not sure,My generation,0,0,0,0,0,0,0
2247,1,it is good and yeah.,My generation,0,0,0,0,0,0,0
2249,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2250,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2252,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2254,1,i feel good,My generation,0,0,0,0,0,0,0
2255,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2258,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2259,1,for better life opportunity,My parents' generation,0,0,0,0,1,0,0
2260,1,"Slavery, Immigration from Colonial Spain, European expansion into North America.",My great-great-grandparents' generation or earlier,0,1,1,1,-1,0,0
2264,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2265,1,To get a better life then  before . Thier are more oppurnty in the united states and better jobs,My parents' generation,0,0,0,0,1,0,0
2266,1,crime,My parents' generation,0,0,0,0,-1,0,0
2269,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2271,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2274,1,aaaaaaaaaa,My parents' generation,0,0,0,0,0,0,1
2277,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2279,1,NA,NA,na,na,NA,NA,NA,NA,NA
2281,1,More money and better Job,My parents' generation,0,0,0,0,1,0,0
2282,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2284,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2286,1,NA,My great-grandparents' generation,na,na,NA,NA,NA,NA,NA
2287,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2291,1,To have a better life.,My grandparents' generation,0,0,0,0,1,0,0
2292,1,to be in a better environment,My generation,0,0,0,0,1,0,0
2294,1,For a better life.,My parents' generation,0,0,0,0,1,0,0
2295,1,NA,NA,na,na,NA,NA,NA,NA,NA
2299,1,A better life,My great-great-grandparents' generation or earlier,0,0,0,0,1,0,0
2302,1,united state,My generation,0,0,0,0,0,0,1
2303,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2306,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2307,1,you don't need to know this,My grandparents' generation,0,0,0,0,-1,0,0
2309,1,NA,My parents' generation,na,na,NA,NA,NA,NA,NA
2311,1,"To escape the troubles of their home country. Poverty, etc",My parents' generation,0,0,0,0,-1,0,0
2312,1,We came for freedom and a better quality of life.,My generation,0,0,1,0,1,0,0
2314,1,i dont have worlds,My generation,0,0,0,0,0,0,0
2316,1,NA,My grandparents' generation,na,na,NA,NA,NA,NA,NA
2319,1,They were born here in the USA,My great-great-grandparents' generation or earlier,0,0,1,0,0,1,0
2320,1,a person who comes to live permanently in a foreign country.,My generation,0,0,0,0,0,0,0
2321,1,NA,My great-great-grandparents' generation or earlier,na,na,NA,NA,NA,NA,NA
2324,1,I don’t know,My grandparents' generation,0,0,0,0,0,0,0
2325,1,Get the address and I'll be there in the,My generation,0,0,0,0,0,0,1
2326,1,tefsads,My parents' generation,0,0,0,0,0,0,1
2327,1,Economic,My generation,0,0,0,0,0,0,0
